coddis,ano,turmas,pfx,matr,semestre,unidade
0420105,2020,2,042,2,ambos,ICB
0420107,2012,2,042,74,1,ICB
0420107,2013,2,042,84,1,ICB
0420107,2014,2,042,82,1,ICB
0420107,2015,2,042,84,1,ICB
0420107,2016,1,042,41,1,ICB
0420107,2017,1,042,45,1,ICB
0420107,2018,1,042,40,1,ICB
0420107,2019,1,042,45,1,ICB
0420107,2020,1,042,42,1,ICB
0420108,2012,2,042,68,2,ICB
0420108,2013,2,042,72,2,ICB
0420108,2014,2,042,80,2,ICB
0420108,2015,2,042,76,2,ICB
0420108,2016,2,042,70,2,ICB
0420109,2013,1,042,34,1,ICB
0420109,2014,1,042,35,1,ICB
